S.No.,Statement,Predicate,My answer,,,,,
1,"If the snow falls, shovel the path.",∀ Weather is_snow_falling?(Weather) → do_shovel?(path),FA Weather is_snow_falling?(Weather) IMPL do_shovel?(path),,,,FA,∀
2,"If the phone rings, could you answer it?",∀ phone is_ringing_?(phone) → do_answer?(phone),FA phone is_ringing_?(phone) IMPL do_answer?(phone),,,,TE,∃
3,"If the storm comes, stay inside.",∀ Weather is_storm_coming?(Weather)→ do_stay?(inside),FA Weather is_storm_coming?(Weather)IMPL do_stay?(inside),,,,EQ,≡
4,"If you're reliable, keep promises.",∀ you is_reliable_?(you)→ do_keep?(promises),FA you is_reliable_?(you)IMPL do_keep?(promises),,,,IMPL,→
5,"If the chair squeaks, fix it.",∀ chair_is_squeaks?(chair)→ do_fix?(chair),FA chair_is_squeaks?(chair)IMPL do_fix?(chair),,,,NOT,¬
6,"If you're thirsty, drink water.",∀ you is_thirsty_?(you)→ do_drink?(water),FA you is_thirsty_?(you)IMPL do_drink?(water),,,,OR,∨
7,"If the computer crashes, restart it.",∀ computer is_crashes_?(computer) →,FA computer is_crashes_?(computer) IMPL,,,,AND,∧
8,"If the dish breaks, sweep it up.",∀ (Dish(x) ∧ Breaks(x) → SweepUp(x)),FA (Dish(x) ∧ Breaks(x) → SweepUp(x)),,,,,
9,"If the light bulb burns out, replace it.",∀ (LightBulb(x) ∧ BurnsOut(x) → Replace(x)),FA (LightBulb(x) ∧ BurnsOut(x) → Replace(x)),,,,,
10,"If you're brave, face fears.",∀ (Brave(x) → FaceFears(x)),FA (Brave(x) → FaceFears(x)),,,,,
11,"If you break something, please tell me.","∀  (Breaks(x, y) → TellMe(x, y))","FA  (Breaks(x, y) → TellMe(x, y))",,,,,
12,"If you hear thunder, come inside.","∀ (Hears(x, Thunder) → ComeInside(x))","FA (Hears(x, Thunder) → ComeInside(x))",,,,,
13,"If you're energetic, exercise.",∀ (Energetic(x) → Exercise(x)),FA (Energetic(x) → Exercise(x)),,,,,
14,"If the plant looks dry, water it.",∀ (Plant(x) ∧ LooksDry(x) → Water(x)),FA (Plant(x) ∧ LooksDry(x) → Water(x)),,,,,
15,"If the shoes fit, buy them.",∀ (Shoes(x) ∧ Fit(x) → Buy(x)),FA (Shoes(x) ∧ Fit(x) → Buy(x)),,,,,
16,"If you're thoughtful, consider others.",∀ (Thoughtful(x) → ConsiderOthers(x)),FA (Thoughtful(x) → ConsiderOthers(x)),,,,,
17,"If the battery dies, charge your phone.",∀ (Battery(x) ∧ Dies(x) → ChargePhone(x)),FA (Battery(x) ∧ Dies(x) → ChargePhone(x)),,,,,
18,"If the garden grows, share produce.",∀ (Garden(x) ∧ Grows(x) → ShareProduce(x)),FA (Garden(x) ∧ Grows(x) → ShareProduce(x)),,,,,
19,"If you're careful, avoid mistakes.",∀ (Careful(x) → AvoidMistakes(x)),FA (Careful(x) → AvoidMistakes(x)),,,,,
20,"If the water boils, add the pasta.",∀ (Water(x) ∧ Boils(x) → AddPasta(x)),FA (Water(x) ∧ Boils(x) → AddPasta(x)),,,,,
21,"If you're early, wait outside.",∀ (Early(x) → WaitOutside(x)),FA (Early(x) → WaitOutside(x)),,,,,
22,"If you study hard, you'll pass the test.",∀ (StudyHard(x) → PassTest(x)),FA (StudyHard(x) → PassTest(x)),,,,,
23,"If you're punctual, arrive early.",∀ (Punctual(x) → ArriveEarly(x)),FA (Punctual(x) → ArriveEarly(x)),,,,,
24,"If you're honest, tell the truth.",∀ (Honest(x) → TellTruth(x)),FA (Honest(x) → TellTruth(x)),,,,,
25,"If the door is locked, use your key.",∀ (Door(x) ∧ Locked(x) → UseKey(x)),FA (Door(x) ∧ Locked(x) → UseKey(x)),,,,,
26,"If you need directions, use a map.",∀ (NeedsDirections(x) → UseMap(x)),FA (NeedsDirections(x) → UseMap(x)),,,,,
27,"If the pencil breaks, sharpen it.",∀ (Pencil(x) ∧ Breaks(x) → Sharpen(x)),FA (Pencil(x) ∧ Breaks(x) → Sharpen(x)),,,,,
28,"If you're proud, celebrate.",∀ (Proud(x) → Celebrate(x)),FA (Proud(x) → Celebrate(x)),,,,,
29,"If you're persistent, don't give up.",∀ (Persistent(x) → ¬GiveUp(x)),FA (Persistent(x) → ¬GiveUp(x)),,,,,
30,"If you're sincere, mean what you say.",∀ (Sincere(x) → MeanWhatYouSay(x)),FA (Sincere(x) → MeanWhatYouSay(x)),,,,,
31,"If you want to succeed, work hard.",∀ (WantsToSucceed(x) → WorkHard(x)),FA (WantsToSucceed(x) → WorkHard(x)),,,,,
32,"If you're running late, call ahead.",∀ (RunningLate(x) → CallAhead(x)),FA (RunningLate(x) → CallAhead(x)),,,,,
33,"If you heat water to 100°C, it boils.","∀ (Water(x) ∧ HeatTo(x, 100°C) → Boils(x))","FA (Water(x) ∧ HeatTo(x, 100°C) → Boils(x))",,,,,
34,"If you're grateful, say thanks.",∀ (Grateful(x) → SayThanks(x)),FA (Grateful(x) → SayThanks(x)),,,,,
